image name;longitude;lattude;altitude
IMG_0335.tif;39.702470;32.968968;99.83
IMG_0336.tif;39.702367;32.969047;101.00
IMG_0337.tif;39.702278;32.969106;101.50
IMG_0338.tif;39.702079;32.969263;106.83
IMG_0339.tif;39.701949;32.969328;105.83
IMG_0340.tif;39.701844;32.969282;102.83
IMG_0341.tif;39.701745;32.969071;100.83
IMG_0342.tif;39.701946;32.968638;99.17
IMG_0343.tif;39.702297;32.968457;96.83
IMG_0344.tif;39.702744;32.968276;97.17
IMG_0345.tif;39.703145;32.968032;98.83
IMG_0346.tif;39.703418;32.967848;100.50
IMG_0347.tif;39.703582;32.967743;100.67
IMG_0348.tif;39.703910;32.967511;99.50
IMG_0349.tif;39.704245;32.967244;99.17
IMG_0350.tif;39.704599;32.966982;99.17
IMG_0351.tif;39.704966;32.966734;99.50
IMG_0352.tif;39.705152;32.966609;99.50
IMG_0353.tif;39.705588;32.966316;100.17
IMG_0354.tif;39.705842;32.966071;100.83
IMG_0355.tif;39.705925;32.965846;101.50
IMG_0356.tif;39.705900;32.965638;101.17
IMG_0357.tif;39.705821;32.965564;99.50
IMG_0358.tif;39.705513;32.965707;102.00
IMG_0359.tif;39.705420;32.965859;102.67
IMG_0360.tif;39.705350;32.965995;100.50
IMG_0361.tif;39.705299;32.966079;98.67
IMG_0362.tif;39.705225;32.966166;97.50
IMG_0363.tif;39.705118;32.966241;99.17
IMG_0364.tif;39.705044;32.966307;100.17
IMG_0365.tif;39.704886;32.966456;99.17
IMG_0366.tif;39.704791;32.966534;99.67
IMG_0367.tif;39.704695;32.966616;98.83
IMG_0368.tif;39.704615;32.966680;99.83
IMG_0369.tif;39.704445;32.966816;99.50
IMG_0370.tif;39.704353;32.966889;100.50
IMG_0371.tif;39.704243;32.966977;100.17
IMG_0372.tif;39.704123;32.967063;101.33
IMG_0373.tif;39.704034;32.967132;102.67
IMG_0374.tif;39.703802;32.967289;103.67
IMG_0375.tif;39.703685;32.967369;105.17
IMG_0376.tif;39.703575;32.967450;102.83
IMG_0377.tif;39.703482;32.967513;101.17
IMG_0378.tif;39.703377;32.967590;101.17
IMG_0379.tif;39.703297;32.967656;100.17
IMG_0380.tif;39.703193;32.967737;99.50
IMG_0381.tif;39.703090;32.967812;99.00
IMG_0382.tif;39.703008;32.967872;99.00
IMG_0383.tif;39.702890;32.967947;98.83
IMG_0384.tif;39.702702;32.968096;99.83
IMG_0385.tif;39.702565;32.968211;101.83
IMG_0386.tif;39.702450;32.968292;102.67
IMG_0387.tif;39.702345;32.968357;102.67
IMG_0388.tif;39.702213;32.968445;104.17
IMG_0389.tif;39.702116;32.968519;104.17
IMG_0390.tif;39.701989;32.968607;104.17
IMG_0391.tif;39.701781;32.968747;103.17
IMG_0392.tif;39.701665;32.968705;99.67
IMG_0393.tif;39.701602;32.968528;98.67
IMG_0394.tif;39.701673;32.968289;98.17
IMG_0395.tif;39.701818;32.968101;96.67
IMG_0396.tif;39.702088;32.967918;94.67
IMG_0397.tif;39.702278;32.967819;95.33
IMG_0398.tif;39.702833;32.967518;96.67
IMG_0399.tif;39.703092;32.967363;95.50
IMG_0400.tif;39.703413;32.967135;96.67
IMG_0401.tif;39.703734;32.966909;99.33
IMG_0402.tif;39.703983;32.966744;101.50
IMG_0403.tif;39.704569;32.966351;105.83
IMG_0404.tif;39.705022;32.966033;104.17
IMG_0405.tif;39.705228;32.965862;103.33
IMG_0406.tif;39.705291;32.965712;101.67
IMG_0407.tif;39.705289;32.965511;98.00
IMG_0408.tif;39.705218;32.965425;94.83
IMG_0409.tif;39.705054;32.965424;95.83
IMG_0410.tif;39.704812;32.965649;98.50
IMG_0411.tif;39.704748;32.965766;97.00
IMG_0412.tif;39.704695;32.965856;97.33
IMG_0413.tif;39.704637;32.965921;98.67
IMG_0414.tif;39.704505;32.966022;99.67
IMG_0415.tif;39.704460;32.966055;99.50
IMG_0416.tif;39.704369;32.966116;101.17
IMG_0417.tif;39.704287;32.966179;102.67
IMG_0418.tif;39.704185;32.966262;104.83
IMG_0419.tif;39.703975;32.966427;106.33
IMG_0420.tif;39.703874;32.966494;106.83
IMG_0421.tif;39.703717;32.966601;104.83
IMG_0422.tif;39.703594;32.966721;104.50
IMG_0423.tif;39.703490;32.966831;102.83
IMG_0424.tif;39.703397;32.966902;102.33
IMG_0425.tif;39.703284;32.966975;101.33
IMG_0426.tif;39.703215;32.967033;99.83
IMG_0427.tif;39.703143;32.967091;96.00
IMG_0428.tif;39.703083;32.967127;93.50
IMG_0429.tif;39.702997;32.967184;92.67
IMG_0430.tif;39.702926;32.967235;92.67
IMG_0431.tif;39.702795;32.967324;98.00
IMG_0432.tif;39.702729;32.967379;101.17
IMG_0433.tif;39.702572;32.967521;99.83
IMG_0434.tif;39.702465;32.967566;99.83
IMG_0435.tif;39.702312;32.967642;102.50
IMG_0436.tif;39.702170;32.967808;100.67
IMG_0437.tif;39.702123;32.967846;99.50
IMG_0438.tif;39.702024;32.967888;98.33
IMG_0439.tif;39.701886;32.967868;99.00
IMG_0440.tif;39.701788;32.967567;98.67
IMG_0441.tif;39.701929;32.967288;100.67
IMG_0442.tif;39.702194;32.967110;100.83
IMG_0443.tif;39.702493;32.966995;102.33
IMG_0444.tif;39.702788;32.966867;102.83
IMG_0445.tif;39.703172;32.966626;103.00
IMG_0446.tif;39.703435;32.966445;103.17
IMG_0447.tif;39.703749;32.966232;102.17
IMG_0448.tif;39.703954;32.966099;102.83
IMG_0449.tif;39.704196;32.965928;101.67
IMG_0450.tif;39.704550;32.965647;99.83
IMG_0451.tif;39.704724;32.965389;97.83
IMG_0452.tif;39.704732;32.965110;98.50
IMG_0453.tif;39.704655;32.965026;97.17
IMG_0454.tif;39.704528;32.965050;99.17
IMG_0455.tif;39.704409;32.965165;102.00
IMG_0456.tif;39.704328;32.965274;101.33
IMG_0457.tif;39.704204;32.965471;101.00
IMG_0458.tif;39.704158;32.965529;99.67
IMG_0459.tif;39.704068;32.965639;100.00
IMG_0460.tif;39.703964;32.965739;99.33
IMG_0461.tif;39.703890;32.965816;98.33
IMG_0462.tif;39.703803;32.965893;99.50
IMG_0463.tif;39.703736;32.965953;98.67
IMG_0464.tif;39.703673;32.965998;97.50
IMG_0465.tif;39.703595;32.966051;97.67
IMG_0466.tif;39.703541;32.966084;97.00
IMG_0467.tif;39.703345;32.966234;102.50
IMG_0468.tif;39.703288;32.966303;102.67
